Condition,Model,FP_Category,Count
Atrial Fibrillation,GPT-5.4_Mini,Valid diagnosis subtype (reference gap),15
Atrial Fibrillation,GPT-5.4_Mini,Semantic drift (related but different),5
Atrial Fibrillation,GPT-5.4_Mini,History/resolved code,4
Atrial Fibrillation,GPT-5.4_Mini,Risk/screening/suspected,2
Atrial Fibrillation,GPT-5.4_Mini,Administrative/monitoring,3
Atrial Fibrillation,GPT-5.4_Mini,Exclusion/ruled-out code,1
Atrial Fibrillation,Claude_Sonnet_5,Valid diagnosis subtype (reference gap),15
Atrial Fibrillation,Claude_Sonnet_5,Semantic drift (related but different),0
Atrial Fibrillation,Claude_Sonnet_5,History/resolved code,2
Atrial Fibrillation,Claude_Sonnet_5,Risk/screening/suspected,0
Atrial Fibrillation,Claude_Sonnet_5,Administrative/monitoring,0
Atrial Fibrillation,Claude_Sonnet_5,Exclusion/ruled-out code,0
Atrial Fibrillation,Gemini_3.6_Flash,Valid diagnosis subtype (reference gap),15
Atrial Fibrillation,Gemini_3.6_Flash,Semantic drift (related but different),0
Atrial Fibrillation,Gemini_3.6_Flash,History/resolved code,0
Atrial Fibrillation,Gemini_3.6_Flash,Risk/screening/suspected,0
Atrial Fibrillation,Gemini_3.6_Flash,Administrative/monitoring,0
Atrial Fibrillation,Gemini_3.6_Flash,Exclusion/ruled-out code,0
Heart Failure,GPT-5.4_Mini,Valid diagnosis subtype (reference gap),39
Heart Failure,GPT-5.4_Mini,Semantic drift (related but different),1
Heart Failure,GPT-5.4_Mini,History/resolved code,1
Heart Failure,GPT-5.4_Mini,Risk/screening/suspected,0
Heart Failure,GPT-5.4_Mini,Administrative/monitoring,1
Heart Failure,GPT-5.4_Mini,Exclusion/ruled-out code,0
Heart Failure,Claude_Sonnet_5,Valid diagnosis subtype (reference gap),70
Heart Failure,Claude_Sonnet_5,Semantic drift (related but different),25
Heart Failure,Claude_Sonnet_5,History/resolved code,0
Heart Failure,Claude_Sonnet_5,Risk/screening/suspected,0
Heart Failure,Claude_Sonnet_5,Administrative/monitoring,0
Heart Failure,Claude_Sonnet_5,Exclusion/ruled-out code,0
Heart Failure,Gemini_3.6_Flash,Valid diagnosis subtype (reference gap),64
Heart Failure,Gemini_3.6_Flash,Semantic drift (related but different),6
Heart Failure,Gemini_3.6_Flash,History/resolved code,0
