Model,Expert,TP,FP,FN,Precision,Recall,F1,Jaccard,AI_size,Ref_size
GPT-5.4_Mini,AF-1,16,30,2,0.3478,0.8889,0.5,0.3333,46,18
GPT-5.4_Mini,AF-2,25,21,13,0.5435,0.6579,0.5952,0.4237,46,38
GPT-5.4_Mini,AF-3,20,26,10,0.4348,0.6667,0.5263,0.3571,46,30
GPT-5.4_Mini,AF-4,18,28,7,0.3913,0.72,0.507,0.3396,46,25
GPT-5.4_Mini,AF-5,21,25,10,0.4565,0.6774,0.5455,0.375,46,31
Claude_Sonnet_5,AF-1,16,17,2,0.4848,0.8889,0.6275,0.4571,33,18
Claude_Sonnet_5,AF-2,23,10,15,0.697,0.6053,0.6479,0.4792,33,38
Claude_Sonnet_5,AF-3,18,15,12,0.5455,0.6,0.5714,0.4,33,30
Claude_Sonnet_5,AF-4,16,17,9,0.4848,0.64,0.5517,0.381,33,25
Claude_Sonnet_5,AF-5,18,15,13,0.5455,0.5806,0.5625,0.3913,33,31
Gemini_3.6_Flash,AF-1,16,15,2,0.5161,0.8889,0.6531,0.4848,31,18
Gemini_3.6_Flash,AF-2,21,10,17,0.6774,0.5526,0.6087,0.4375,31,38
Gemini_3.6_Flash,AF-3,16,15,14,0.5161,0.5333,0.5246,0.3556,31,30
Gemini_3.6_Flash,AF-4,16,15,9,0.5161,0.64,0.5714,0.4,31,25
Gemini_3.6_Flash,AF-5,16,15,15,0.5161,0.5161,0.5161,0.3478,31,31
