Condition,Model,FN_Category,Count
Atrial Fibrillation,GPT-5.4_Mini,Not in dictionary,0
Atrial Fibrillation,GPT-5.4_Mini,Administrative/monitoring code,2
Atrial Fibrillation,GPT-5.4_Mini,Procedural/surgical code,0
Atrial Fibrillation,GPT-5.4_Mini,Cause-of-death code,0
Atrial Fibrillation,GPT-5.4_Mini,History/resolved code,0
Atrial Fibrillation,GPT-5.4_Mini,Sequelae/historical code,0
Atrial Fibrillation,GPT-5.4_Mini,Complication code,0
Atrial Fibrillation,GPT-5.4_Mini,Missed valid diagnosis,0
Atrial Fibrillation,Claude_Sonnet_5,Not in dictionary,0
Atrial Fibrillation,Claude_Sonnet_5,Administrative/monitoring code,2
Atrial Fibrillation,Claude_Sonnet_5,Procedural/surgical code,0
Atrial Fibrillation,Claude_Sonnet_5,Cause-of-death code,0
Atrial Fibrillation,Claude_Sonnet_5,History/resolved code,0
Atrial Fibrillation,Claude_Sonnet_5,Sequelae/historical code,0
Atrial Fibrillation,Claude_Sonnet_5,Complication code,0
Atrial Fibrillation,Claude_Sonnet_5,Missed valid diagnosis,0
Atrial Fibrillation,Gemini_3.6_Flash,Not in dictionary,0
Atrial Fibrillation,Gemini_3.6_Flash,Administrative/monitoring code,2
Atrial Fibrillation,Gemini_3.6_Flash,Procedural/surgical code,0
Atrial Fibrillation,Gemini_3.6_Flash,Cause-of-death code,0
Atrial Fibrillation,Gemini_3.6_Flash,History/resolved code,0
Atrial Fibrillation,Gemini_3.6_Flash,Sequelae/historical code,0
Atrial Fibrillation,Gemini_3.6_Flash,Complication code,0
Atrial Fibrillation,Gemini_3.6_Flash,Missed valid diagnosis,0
Heart Failure,GPT-5.4_Mini,Not in dictionary,0
Heart Failure,GPT-5.4_Mini,Administrative/monitoring code,31
Heart Failure,GPT-5.4_Mini,Procedural/surgical code,1
Heart Failure,GPT-5.4_Mini,Cause-of-death code,1
Heart Failure,GPT-5.4_Mini,History/resolved code,1
Heart Failure,GPT-5.4_Mini,Sequelae/historical code,0
Heart Failure,GPT-5.4_Mini,Complication code,1
Heart Failure,GPT-5.4_Mini,Missed valid diagnosis,28
Heart Failure,Claude_Sonnet_5,Not in dictionary,0
Heart Failure,Claude_Sonnet_5,Administrative/monitoring code,31
Heart Failure,Claude_Sonnet_5,Procedural/surgical code,0
Heart Failure,Claude_Sonnet_5,Cause-of-death code,0
Heart Failure,Claude_Sonnet_5,History/resolved code,3
Heart Failure,Claude_Sonnet_5,Sequelae/historical code,0
Heart Failure,Claude_Sonnet_5,Complication code,0
Heart Failure,Claude_Sonnet_5,Missed valid diagnosis,21
Heart Failure,Gemini_3.6_Flash,Not in dictionary,0
Heart Failure,Gemini_3.6_Flash,Administrative/monitoring code,31
Heart Failure,Gemini_3.6_Flash,Procedural/surgical code,0
Heart Failure,Gemini_3.6_Flash,Cause-of-death code,0
Heart Failure,Gemini_3.6_Flash,History/resolved code,3
Heart Failure,Gemini_3.6_Flash,Sequelae/historical code,0
Heart Failure,Gemini_3.6_Flash,Complication code,0
Heart Failure,Gemini_3.6_Flash,Missed valid diagnosis,21
Cerebrovascular Disease,GPT-5.4_Mini,Not in dictionary,0
Cerebrovascular Disease,GPT-5.4_Mini,Administrative/monitoring code,22
Cerebrovascular Disease,GPT-5.4_Mini,Procedural/surgical code,0
Cerebrovascular Disease,GPT-5.4_Mini,Cause-of-death code,0
Cerebrovascular Disease,GPT-5.4_Mini,History/resolved code,6
Cerebrovascular Disease,GPT-5.4_Mini,Sequelae/historical code,10
Cerebrovascular Disease,GPT-5.4_Mini,Complication code,0
Cerebrovascular Disease,GPT-5.4_Mini,Missed valid diagnosis,64
Cerebrovascular Disease,Claude_Sonnet_5,Not in dictionary,0
Cerebrovascular Disease,Claude_Sonnet_5,Administrative/monitoring code,22
Cerebrovascular Disease,Claude_Sonnet_5,Procedural/surgical code,0
Cerebrovascular Disease,Claude_Sonnet_5,Cause-of-death code,0
Cerebrovascular Disease,Claude_Sonnet_5,History/resolved code,2
Cerebrovascular Disease,Claude_Sonnet_5,Sequelae/historical code,8
Cerebrovascular Disease,Claude_Sonnet_5,Complication code,0
Cerebrovascular Disease,Claude_Sonnet_5,Missed valid diagnosis,26
Cerebrovascular Disease,Gemini_3.6_Flash,Not in dictionary,0
Cerebrovascular Disease,Gemini_3.6_Flash,Administrative/monitoring code,22
Cerebrovascular Disease,Gemini_3.6_Flash,Procedural/surgical code,0
Cerebrovascular Disease,Gemini_3.6_Flash,Cause-of-death code,0
Cerebrovascular Disease,Gemini_3.6_Flash,History/resolved code,6
Cerebrovascular Disease,Gemini_3.6_Flash,Sequelae/historical code,8
Cerebrovascular Disease,Gemini_3.6_Flash,Complication code,0
Cerebrovascular Disease,Gemini_3.6_Flash,Missed valid diagnosis,43
Hypertension,GPT-5.4_Mini,Not in dictionary,20
Hypertension,GPT-5.4_Mini,Administrative/monitoring code,59
Hypertension,GPT-5.4_Mini,Procedural/surgical code,0
Hypertension,GPT-5.4_Mini,Cause-of-death code,0
Hypertension,GPT-5.4_Mini,History/resolved code,2
Hypertension,GPT-5.4_Mini,Sequelae/historical code,0
Hypertension,GPT-5.4_Mini,Complication code,0
Hypertension,GPT-5.4_Mini,Missed valid diagnosis,92
Hypertension,Claude_Sonnet_5,Not in dictionary,20
Hypertension,Claude_Sonnet_5,Administrative/monitoring code,59
