Condition,Model,Category,Count,Examples
Atrial Fibrillation,GPT-5.4_Mini,Valid diagnosis subtype (reference gap),15,Paroxysmal atrial fibrillation with rapid ventricular response; Permanent atrial fibrillation due to heart valve disorder; Atrial fibrillation due to heart valve disorder
Atrial Fibrillation,GPT-5.4_Mini,Semantic drift (related but different),5,Atrial arrhythmia; Atrial aneurysm; Cardiac fibrillation
Atrial Fibrillation,GPT-5.4_Mini,History/resolved code,4,Atrial fibrillation resolved; H/O: atrial fibrillation; History of atrial fibrillation
Atrial Fibrillation,GPT-5.4_Mini,Risk/screening/suspected,2,At increased risk of atrial fibrillation; Atrial fibrillation screening
Atrial Fibrillation,GPT-5.4_Mini,Administrative/monitoring,3,Atrial fibrillation follow-up; Atrial fibrillation monitoring; Atrial fibrillation annual review
Atrial Fibrillation,GPT-5.4_Mini,Exclusion/ruled-out code,1,Atrial fibrillation excluded
Atrial Fibrillation,Claude_Sonnet_5,Valid diagnosis subtype (reference gap),15,Paroxysmal atrial fibrillation with rapid ventricular response; Paroxysmal AF (atrial fibrillation) with RVR (rapid ventricular response); Paroxysmal a-fib (atrial fibrillation) with RVR (rapid ventricular response)
Atrial Fibrillation,Claude_Sonnet_5,History/resolved code,2,H/O: atrial fibrillation; History of atrial fibrillation
Atrial Fibrillation,Gemini_3.6_Flash,Valid diagnosis subtype (reference gap),15,Paroxysmal atrial fibrillation with rapid ventricular response; Paroxysmal AF (atrial fibrillation) with RVR (rapid ventricular response); Paroxysmal a-fib (atrial fibrillation) with RVR (rapid ventricular response)
Heart Failure,GPT-5.4_Mini,Valid diagnosis subtype (reference gap),39,Heart failure with mid range ejection fraction; Acute on chronic right-sided congestive heart failure; Right ventricular failure due to valvular heart disease
Heart Failure,GPT-5.4_Mini,Semantic drift (related but different),1,Weak heart
Heart Failure,GPT-5.4_Mini,History/resolved code,1,Heart failure resolved
Heart Failure,GPT-5.4_Mini,Administrative/monitoring,1,Heart failure monitoring
Heart Failure,Claude_Sonnet_5,Valid diagnosis subtype (reference gap),70,Heart failure with mid range ejection fraction; Acute on chronic right-sided congestive heart failure; Heart failure due to thyrotoxicosis
Heart Failure,Claude_Sonnet_5,Semantic drift (related but different),25,Acute pulmonary heart disease; Saddle embolus of pulmonary artery with acute cor pulmonale; Chronic cor pulmonale
Heart Failure,Gemini_3.6_Flash,Valid diagnosis subtype (reference gap),64,Heart failure with mid range ejection fraction; Heart failure due to thyrotoxicosis; Left ventricular failure with normal ejection fraction due to valvular heart disease
Heart Failure,Gemini_3.6_Flash,Semantic drift (related but different),6,Chronic cor pulmonale; Cardiac asthma; COR - Chronic cor pulmonale
